RouteID,PortOrder,Port,ETA_day,ETD_day
AEU1,1,CNTAO,0,1.0
AEU1,2,CNSHA,3,4.0
AEU1,3,CNNGB,5,6.0
AEU1,4,CNXMN,8,9.0
AEU1,5,CNYTN,10,11.0
AEU1,6,SGSIN,14,15.0
AEU1,7,GBFXT,45,46.0
AEU1,8,BEZEE,48,49.0
AEU1,9,PLGDY,52,53.0
AEU1,10,DEWVN,58,59.0
AEU1,11,SGSIN,95,96.0
AEU1,12,CNYTN,100,101.0
AEU1,13,CNTAO,105,
AEU2,1,CNNGB,0,1.0
AEU2,2,CNSHA,3,4.0
AEU2,3,CNYTN,6,7.0
AEU2,4,SGSIN,11,12.0
AEU2,5,MAPTM,36,37.0
AEU2,6,FRDKK,41,42.0
AEU2,7,GBSOU,44,45.0
AEU2,8,FRLEH,55,56.0
AEU2,9,MYPKG,95,96.0
AEU2,10,CNNGB,105,
AEU3,1,CNTXG,0,1.0
AEU3,2,CNDLC,3,4.0
AEU3,3,CNTAO,5,6.0
AEU3,4,CNSHA,8,9.0
AEU3,5,CNNGB,10,11.0
AEU3,6,SGSIN,16,17.0
AEU3,7,NLRTM,46,47.0
AEU3,8,DEHAM,50,51.0
AEU3,9,BEANR,54,55.0
AEU3,10,CNSHA,95,96.0
AEU3,11,CNTXG,98,
