port_code,port_name,terminal_name,lat,lon,region
CNTAO,青岛,前湾港区QQCT,36.0317,120.2047,China
CNSHA,上海,洋山深水港Phase3/4,30.5821,121.0734,China
CNNGB,宁波舟山,穿山港区CSCT,29.9336,121.9669,China
CNXMN,厦门,海天港区Haitian,24.4914,118.0747,China
CNYTN,盐田,盐田国际YICT,22.5727,114.2751,China
SGSIN,新加坡,PSAPasirPanjangTerminal,1.2672,103.8342,Singapore
GBFXT,费利克斯托,TrinityTerminal,51.9506,1.3264,UK
BEZEE,泽布吕赫,APMTerminalsZeebrugge,51.3414,3.1808,Belgium
PLGDY,格但斯克,DCTGdansk,54.3875,18.6853,Poland
DEWVN,威廉港,JadeWeserPort,53.5892,8.1433,Germany
MAPTM,丹吉尔,TangerMedTerminal,35.8439,-5.5122,Morocco
FRDKK,敦刻尔克,TerminaldesFlandres,51.0397,2.3717,France
GBSOU,南安普顿,DPWorldSouthampton,50.8761,-1.3972,UK
FRLEH,勒阿弗尔,TerminaldeFrancePort2000,49.4794,0.1825,France
MYPKG,巴生港,Westport,2.9964,101.3783,Malaysia
CNTXG,天津,TianjinContainerTerminalDongjiang,38.9756,117.7339,China
CNDLC,大连,DalianContainerTerminalDCT,38.9694,121.6608,China
NLRTM,鹿特丹,APMTerminalsMaasvlakteII,51.9525,4.0258,Netherlands
DEHAM,汉堡,CTAAltenwerder,53.5242,9.9792,Germany
BEANR,安特卫普,DeurganckdokAntwerpGateway,51.2731,4.3558,Belgium
