港口（英文）,UNLOCODE,所在航线,固定挂靠费(USD/次),变动挂靠费(USD/FFE),港口靠泊费,装卸费-整箱(USD/FFE),备注
中国港口,,,,,,,
Tianjin,CNTXG,AEU3,5922.0,4.0,29390.08,110.0,LINERLIB数据
Dalian,CNDLC,AEU3,860.0,8.0,51750.4,80.0,LINERLIB数据
Qingdao,CNTAO,AEU1 / AEU3,6813.0,5.0,36360.32,79.0,LINERLIB数据
Shanghai,CNSHA,AEU1 / AEU2 / AEU3,6497.0,6.0,42558.08,96.0,LINERLIB数据
Ningbo,CNNGB,AEU1 / AEU2 / AEU3,7275.0,4.0,30256.0,76.0,LINERLIB数据
Xiamen,CNXMN,AEU1,5267.0,4.0,28970.88,69.0,LINERLIB数据
Yantian,CNYTN,AEU1 / AEU2,7220.0,4.0,30220.8,113.0,LINERLIB数据
东亚港口,,,,,,,
Singapore,SGSIN,AEU1 / AEU2 / AEU3,3268.0,1.0,13268.0,130.0,LINERLIB数据
Port Kelang,MYPKG,AEU2,2549.0,3.0,32549.0,50.0,LINERLIB数据
欧洲港口,,,,,,,
Felixstowe,GBFXT,AEU1,12936.0,9.0,82348.8,145.0,LINERLIB数据
Zeebrugge,BEZEE,AEU1,12047.0,9.0,81637.6,136.0,LINERLIB数据
Gdansk,PLGDA,AEU1,9821.0,12.0,103856.8,128.0,估算值（参考Dunkirk，波罗的海区域港口）
Wilhelmshaven,DEWVN,AEU1,18560.0,15.0,134848.0,230.0,估算值（参考Hamburg，但装卸费下调了15%）
Tangier,MAPTM,AEU2,1675.0,8.0,65340.0,80.0,LINERLIB数据
Dunkirk,FRDKK,AEU2,9821.0,12.0,103856.8,142.0,LINERLIB数据
Southampton,GBSOU,AEU2,38789.0,3.0,55031.200000000004,141.0,LINERLIB数据
Le Havre,FRLEH,AEU2,9947.0,10.0,87957.6,222.0,LINERLIB数据
Rotterdam,NLRTM,AEU3,19187.0,16.0,143349.6,113.0,LINERLIB数据
Hamburg,DEHAM,AEU3,18560.0,15.0,134848.0,270.0,LINERLIB数据
Antwerp,BEANR,AEU3,13087.0,16.0,138469.6,206.0,LINERLIB数据
,,,,,,,
"注：1、不同底色表示港口所在航线不同；
2、港口靠泊费是综合了固定挂靠费和变动挂靠费的总成本，是计算值。
目前中国港口以上海港的现行费用为基准，计算公式是：(固定挂靠费+10000*变动挂靠费)*0.64
欧洲港口的计算公式是：(固定挂靠费+10000*变动挂靠费)*0.80
（船的容量按20000TEU/10000FFE估算）
3、中国港口的装卸费，同样以以上海港的现行费用为基准，是由LINERLIB上的数据*0.64得到。",,,,,,,
