Week,AEU1_Revenue,AEU2_Revenue,AEU3_Revenue,Total
1,581212490.0,273752530.0,355532130.0,1210497150.0
2,526766235.0,255491900.0,330143910.0,1112402045.0
3,472194870.0,237228640.0,304691890.0,1014115400.0
4,433259870.0,218996950.0,279317970.0,931574790.0
5,394283170.0,200741580.0,253918040.0,848942790.0
6,355601160.0,182504260.0,228530510.0,766635930.0
7,317076700.0,164293480.0,203132300.0,684502480.0
8,277999810.0,146022150.0,177723290.0,601745250.0
9,239401850.0,127807650.0,152331100.0,519540600.0
10,200718840.0,109539640.0,126925050.0,437183530.0
11,161689880.0,91314590.0,101560950.0,354565420.0
12,122999440.0,73040920.0,76137240.0,272177600.0
13,84801600.0,54818070.0,50743940.0,190363610.0
14,46522890.0,36536760.0,25346470.0,108406120.0
15,23090405.0,18307990.0,0,41398395.0
